Item,Prompt,Word Count,Category Terms,Design Terms,Unverified Facts,Generic Lang,Cleanup Instr,Alignment Instr,Gold Finish Instr,Describes (A/B/C),Dominant Status
5 BALI 18,"Professional catalogue photograph of a pair of small gold hoop earrings (bali). 18k yellow gold. Perfectly matched pair. Each hoop has a wider, decorative lower half with textured ridges and small gold bead accents along the bottom edge. Secure latch back closures. Studio lighting, pure white background, sharp focus, high-end jewelry photography.",52,Yes,Yes,No,Yes,No,No,Yes,A,PROMPT_CATEGORY_PRIOR_DOMINANT
6 BALI 22,"Professional catalogue photograph of a pair of traditional gold hoop earrings (bali). 22k yellow gold. perfectly matched pair. Simple classic hoop design featuring a twisted wire pattern along the lower edge and a small cluster of gold beads wrapped around the bottom center. Studio lighting, pure white background, sharp focus, high-end jewelry photography.",53,Yes,Yes,No,Yes,No,No,Yes,A,PROMPT_CATEGORY_PRIOR_DOMINANT
10 EARRING 22,"Professional catalogue photograph of a pair of large traditional gold earrings. 22k yellow gold. perfectly matched pair. Each earring features a domed floral stud with intricate wirework, a central dangling bead, and a large open circular hoop (chandbali style) below. The hoop has an ornate filigree interior, textured edges, and small gold bead drops along the bottom. Studio lighting, pure white background, sharp focus, high-end jewelry photography.",67,Yes,Yes,No,Yes,No,No,Yes,A,PROMPT_CATEGORY_PRIOR_DOMINANT
16 GENTS RING 22,"Professional catalogue photograph of a heavy men's gold ring. 22k yellow gold. The ring features a large rectangular flat top with deeply engraved grooved vertical lines and starburst cuts that resemble clear stones. The thick, structured shoulders have a textured grid pattern. The thick band is smooth at the bottom. Studio lighting, pure white background, sharp focus, high-end jewelry photography.",60,Yes,Yes,No,Yes,No,No,Yes,A,PROMPT_CATEGORY_PRIOR_DOMINANT
32 JHUMKA 22,"Professional catalogue photograph of a pair of traditional gold jhumka earrings. 22k yellow gold. perfectly matched pair. Each earring has a floral stud top with a central leaf motif, connected to a domed bell (jhumka) covered in intricate filigree and gold beads. A small pearl or bead hangs from the bottom center, with tiny gold drops around the edge. Studio lighting, pure white background, sharp focus, high-end jewelry photography.",69,Yes,Yes,No,Yes,No,No,Yes,A,PROMPT_CATEGORY_PRIOR_DOMINANT
37 LADIES RING 18,"Professional catalogue photograph of a modern ladies' gold ring. 18k yellow gold. The design features a wide, open-worked band with three solid, flat, circular discs overlapping diagonally across the center. The band has horizontal striped cutouts giving it a modern, geometric look. High polish finish. Studio lighting, pure white background, sharp focus, high-end jewelry photography.",55,Yes,Yes,No,Yes,No,No,Yes,A,PROMPT_CATEGORY_PRIOR_DOMINANT
38 LADIES RING 22,"Professional catalogue photograph of a delicate ladies' gold ring. 22k yellow gold. The central motif is a stylized crown or tiara shape, with five curved points and a small flower in the center. The top has intricate filigree work. The band is thin and split at the shoulders. Studio lighting, pure white background, sharp focus, high-end jewelry photography.",58,Yes,Yes,No,Yes,No,No,Yes,A,PROMPT_CATEGORY_PRIOR_DOMINANT
39 LOCKET 18,"Professional catalogue photograph of a tall gold locket pendant. 18k yellow gold. The vertical design features three stacked geometric elements connected by articulated joints. The top is a simple loop, followed by an inverted teardrop shape with a textured grid. The main body is a larger teardrop with vertical and horizontal grooved textures, finished with a small dangling gold bead. Studio lighting, pure white background, sharp focus, high-end jewelry photography.",70,Yes,Yes,No,Yes,No,No,Yes,A,PROMPT_CATEGORY_PRIOR_DOMINANT
40 LOCKET 22,"Professional catalogue photograph of a traditional gold locket pendant. 22k yellow gold. The pendant is a solid, rectangular block with angled, faceted edges, resembling a small gold ingot. The front surface features a deep, detailed relief carving of a Hindu deity (Ganesha). A simple polished gold loop is attached at the top. Studio lighting, pure white background, sharp focus, high-end jewelry photography.",62,Yes,Yes,No,Yes,No,No,Yes,A,PROMPT_CATEGORY_PRIOR_DOMINANT
51 PENDENT 22,"Professional catalogue photograph of a large traditional gold pendant. 22k yellow gold. Ornate circular domed center with a floral motif, surrounded by delicate filigree wirework. Outer scalloped border with small circular accents. A cascade of small gold bead drops hangs from the bottom edge. Studio lighting, pure white background, sharp focus, high-end jewelry photography.",54,Yes,Yes,No,Yes,No,No,Yes,A,PROMPT_CATEGORY_PRIOR_DOMINANT
55 TOPS 18,"Professional catalogue photograph of a pair of gold stud earrings. 18k yellow gold. Design features a horizontal infinity or figure-eight loop set with small clear stones, topped by a stylized crown or leaf motif set with larger clear stones. Perfectly matched pair. Studio lighting, pure white background, sharp focus, high-end jewelry photography.",52,Yes,Yes,No,Yes,No,No,Yes,A,PROMPT_CATEGORY_PRIOR_DOMINANT
56 TOPS 22,"Professional catalogue photograph of a pair of long gold earrings. 22k yellow gold. Perfectly matched pair. The top stud is a circular flower design featuring multicolored meenakari enamel petals in blue, green, and maroon around a central gold teardrop. A small gold dome connects to a long, delicate gold chain that ends in a matching gold dome with tiny beads. Hanging perfectly straight, side-by-side. Studio lighting, pure white background, sharp focus, high-end jewelry photography.",74,Yes,Yes,No,Yes,No,No,Yes,A,PROMPT_CATEGORY_PRIOR_DOMINANT
57 WATI 22,"Professional catalogue photograph of a traditional gold wati pendant (mangalsutra pendant). 22k yellow gold. The design features a top horizontal bar with a central red enamel bead flanked by textured gold beads. Below hangs a circular motif with a black enamel center featuring a gold floral starburst, surrounded by a gold beaded border. Small gold drops hang from the bottom edge. Studio lighting, pure white background, sharp focus, high-end jewelry photography.",71,Yes,Yes,No,Yes,No,No,Yes,A,PROMPT_CATEGORY_PRIOR_DOMINANT
